"v1","v2"
"ex 48",3.72004482438722,1.04143688386512
"ex 49",-2.05638059546619,1.32484466628734
"ex 50",-0.821157381055622,-2.92638889822988
"ex 51",3.76262939964645,6.59361529273087
"ex 52",1.98913655191575,-11.8103663376434
"ex 53",-3.38376293855091,-5.69160655213271
"ex 54",2.55954761779103,0.045662900101014
"ex 55",2.87691683913996,-5.51968795049283
"ex 56",-2.28182175408168,-6.9472879700694
"ex 57",-3.40737376850156,6.41376887768154
"ex 58",-3.51784327383489,4.38631549100029
"ex 59",-7.78297615614936,3.63516893895441
"ex 60",-4.94892128283557,-4.80996851722092
"ex 61",1.16025854102022,-2.32196560999058
"ex 62",-1.85199009906903,-4.85998756009623
"ex 63",2.58271396861344,-3.66112682227037
"ex 64",2.47120173976471,-4.08825150611354
"ex 65",-1.78523432480756,-2.74976804299426
"ex 66",4.28989814263031,4.67389064123869
"ex 67",0.894324985610772,2.66770907175502
"ex 68",-7.76875194008799,-1.26592685440895
"ex 69",-0.447399865296209,-7.9358995516817
"ex 70",-1.92457207214056,-3.22832992095702
"ex 71",1.34404462355507,-5.16322241614344
"ex 72",0.00244756867514800,-4.069887946508
"ex 73",-4.48733697952824,-8.71288324696908
"ex 74",-0.381258606396855,0.140569042186470
"ex 75",-4.66579761912298,-6.8242000659373
"ex 76",-0.398698858403412,-5.90454899637167
"ex 77",2.13428011335762,-1.92708267226185
"ex 78",1.44749976901213,-14.3471030340997
"ex 79",-0.189124647155339,3.54742256551117
"ex 80",-2.81780666682209,-3.57882069075546
"ex 81",0.0259682084959683,-7.91465542000284
"ex 82",-1.61573334246517,-2.31165712985710
"ex 83",-0.391140499958814,-1.93013155430159
"ex 84",-9.51296546001734,4.22908207898807
"ex 85",-1.79885147882756,0.734403856778152
"ex 86",-6.13253703479556,0.336898713305930
"ex 87",-7.06069271130365,1.47649602093642
"ex 88",-5.70398681602312,-1.29810475586385
"ex 89",3.67721043585417,2.15430718273264
"ex 90",-3.42748240468081,1.19026721161198
"ex 91",2.32610722380213,-2.86148775642272
"ex 92",1.53327021802817,-4.66189155459016
"ex 93",-5.76326010336819,-3.94806383873302
"ex 94",4.98087407414524,-12.2255158629511
"ex 95",4.37932235571706,-9.92040754180537
"ex 96",-1.59238943328380,-1.58831340047989
"ex 97",2.03664780101525,5.05779162480206
"ex 98",-6.15962488767343,-3.51591277570144
"ex 99",7.35485719402763,-7.63348724941106
"ex 100",-3.37447305642996,-5.86517826390326
"ex 101",-0.703690360367143,-2.09492797347840
"ex 102",0.683133666191156,-7.72029909860385
"ex 103",-3.23544077244984,0.899315654192917
"ex 104",-13.882764256644,-6.94203810765375
"ex 105",-6.59154616577216,8.30672980057883
"ex 106",1.73604494765799,-9.11838881140639
"ex 107",-0.901545693446508,-7.42459541589655
"ex 108",1.11993623230033,-0.848421663316763
"ex 109",-6.60598437523373,-4.640923118515
"ex 110",7.71609003821507,-2.12092537841754
"ex 111",-0.441100633606968,2.34675728280946
"ex 112",-1.15861444794999,1.61876532503305
"ex 113",-5.96505073295033,-4.34179637318307
"ex 114",-5.76802956368883,-0.826201365379657
"ex 115",-9.11437810444996,-1.18429581300355
"ex 116",2.94076977678757,-3.56770051920611
"ex 117",5.48296827999842,2.79294198449488
"ex 118",1.74226400530969,-11.9853446041370
"ex 119",-2.05525305801554,-9.75268636109156
"ex 120",3.27389649914498,-5.01875627637353
"ex 121",-8.72944882213551,1.91579566943839
"ex 122",-3.89581859019257,-4.45880022765113
"ex 123",-1.23594244324032,2.73258769182107
"ex 124",-8.49371275484309,2.61847999711373
"ex 125",-3.32948964818280,11.5253808403439
"ex 126",-1.06874896174269,2.10426863101053
"ex 127",4.43693101714432,-7.50180537036897
"ex 128",-5.56778015119182,-3.36990095980233
"ex 129",-2.28769879275489,-8.68609081122895
"ex 130",-4.94439725354441,-2.35051623418159
"ex 131",-0.708662183123075,6.18603600307283
"ex 132",5.54130695179806,3.38546779960859
"ex 133",-4.4871052856527,-1.63340193042112
"ex 134",0.816390856355366,-3.72224667358417
"ex 135",4.02626020890738,-7.97382835893589
"ex 136",-5.22905468967986,0.330089064270131
"ex 137",-5.92945198114346,-1.16221493964140
"ex 138",2.06328563171557,2.41695495439468
"ex 139",1.42116386412460,10.1612219942641
"ex 140",-9.39206634926862,3.5721214144022
"ex 141",-3.5093609598962,-8.32178943448203
"ex 142",2.01515816630679,0.85543969234726
"ex 143",-10.1844286097953,-2.00476209040933
"ex 144",2.32149764848786,7.07259618492357
"ex 145",7.1405534562848,0.161956783649921
"ex 146",0.380193077005032,-1.93829452348172
"ex 147",3.56223016402145,-3.82719195086574
"ex 148",-0.0070446720814834,-5.89157336693744
"ex 149",1.29207681702270,-2.09998713016671
"ex 150",2.23363855721207,-0.0114033483659943
"ex 151",-6.26070290587881,-4.09541075183022
"ex 152",-9.374600171523,-3.54062917892859
"ex 153",10.1835256954206,3.69702843618494
"ex 154",-4.29578463155329,-2.92539857451317
"ex 155",2.26639270599657,-6.41872642083317
"ex 156",2.70390862996875,-7.18880558252935
"ex 157",-3.92878728398214,-0.523109931909304
"ex 158",-2.45985391302013,-6.90966531861145
"ex 159",0.335873321173531,-12.9475766236277
"ex 160",8.56125144530526,-2.01221849469945
"ex 161",-1.22887013373985,-1.35835468257505
"ex 162",4.18180919044948,-12.4827389480139
"ex 163",7.01192395016622,10.9303499670816
"ex 164",4.95301526542592,-4.77918584019029
"ex 165",0.176791050043296,-2.73300729794761
"ex 166",-8.3599120150573,1.87907294960189
"ex 167",-3.90189827720539,9.41812757300652
"ex 168",4.96236876269335,-5.21379798169749
"ex 169",-2.81889088669975,3.83479590212999
"ex 170",-1.60464468020334,5.57625756463912
"ex 171",9.85273768255105,2.20447311179709
"ex 172",-4.33835753892918,-3.73094172890625
"ex 173",-3.68363627872741,-7.28032690194224
"ex 174",-8.82915252021545,1.26105365878653
"ex 175",-3.04976281103063,-0.988620732199255
"ex 176",1.53044737014729,-1.39864801838183
"ex 177",1.92669135192557,1.38543140813799
"ex 178",3.46925009464447,-0.913412117209088
"ex 179",-1.78455653902485,2.73145939874109
"ex 180",10.0644057075164,-9.82807629041809
"ex 181",1.19700061754980,4.60014236911091
"ex 182",-2.86444501474910,-8.79216383627624
"ex 183",0.764501103371097,1.80843659958969
"ex 184",-5.48557273056278,-11.4771888778545
"ex 185",0.137495776458191,-5.9811535095897
"ex 186",-3.74721864950242,-5.2286546129229
"ex 187",0.0914359380619844,3.72124757763783
"ex 188",-7.73416948286009,3.75949024522084
"ex 189",9.21158874296797,3.5711249845923
"ex 190",1.01673678704777,-4.21019167676139
"ex 191",5.23679951095792,2.02001133965336
"ex 192",-11.3933783940764,-0.820872067207387
"ex 193",-3.07435977949038,0.881427758045722
"ex 194",-0.369283845410942,-11.3976179664508
"ex 195",3.42348984806301,-5.28914160213164
"ex 196",-0.717644991259482,1.79349562043403
"ex 197",1.44033087509844,-2.26201796772463
"ex 198",-0.954720889246786,-8.64845326617336
"ex 199",9.83272623183765,-4.4335886481477
"ex 200",4.47539748979313,-2.92603912306234
"ex 201",-0.3548286322751,-6.33532390532488
"ex 202",-5.3882466469608,-7.01293752436476
"ex 203",-7.99451835662478,-10.5964540450673
"ex 204",-12.4464064172679,-9.82445580440861
"ex 205",-2.66337021060902,-9.52194716539308
"ex 206",-2.10401227558191,6.267574205214
"ex 207",-0.500684830301067,-2.16727712314175
"ex 208",-6.3204764347475,7.88437057687893
"ex 209",-6.46650480704996,-0.452947068325886
"ex 210",-6.7791176363477,6.18393500564444
"ex 211",-0.272784857663531,0.782036885855669
"ex 212",-2.84606336498872,-1.1811069217766
"ex 213",3.96305738749756,-1.81016750256345
"ex 214",2.56780887367915,0.093252558956866
"ex 215",11.6746831314625,-3.7375058144358
"ex 216",0.780746104191035,3.44796124630242
"ex 217",-5.793428097889,5.2536576504733
"ex 218",-1.52268530852264,-5.99311979716259
"ex 219",-6.85138188271012,-4.36082333392697
"ex 220",1.78206725833237,6.20743793550535
"ex 221",-0.739009263621105,-2.78696219272453
"ex 222",2.14254090448905,6.37990642233985
"ex 223",7.71526822408817,-9.27140061702216
"ex 224",-4.68005892445709,-2.41326312682665
"ex 225",-6.55358717939618,-2.28454280689533
"ex 226",-1.36029002342008,-12.4081720334492
"ex 227",7.75856639289875,-6.97942576389383
"ex 228",-8.1286540312322,2.42468697966861
"ex 229",-1.48791783267475,9.37773253512294
"ex 230",-4.40557670880618,0.649462932036171
"ex 231",8.86596220443797,0.0520359120095885
"ex 232",2.32576596369903,1.38068773159133
"ex 233",6.53363157024514,-4.19152070804875
"ex 234",3.12779794766425,5.38784572017998
"ex 235",-1.05818221536921,10.6049491238281
"ex 236",-6.5885719160016,-3.18704631670285
"ex 237",-3.84987978438953,3.11911898738026
"ex 238",-5.80410606955003,-2.60592720228787
"ex 239",-0.907883580632433,-2.38859454450646
"ex 240",-7.2067107917656,-1.76119150755018
"ex 241",-3.0985650392145,3.62502397593592
"ex 242",-4.97390562346005,-5.81896331795333
"ex 243",4.38961063018773,1.01430340026366
"ex 244",1.37600467358841,-4.53330200824990
"ex 245",1.70606671697357,-4.14581258576749
"ex 246",-5.32432920537132,-9.10960907545215
"ex 247",0.552644792831247,-0.836463429817328
"ex 248",-6.50976826905051,-2.76313075444169
"ex 249",2.93323327027801,0.467374747001073
"ex 250",-3.54790874046335,-2.79657145656986
"ex 251",1.37794515058653,2.71892392812764
"ex 252",0.650148840839032,3.2239224169847
"ex 253",2.24838102041255,-2.64583781195404
"ex 254",7.9722502350698,-12.3800077596096
"ex 255",-2.08540065858108,1.72496245413231
"ex 256",3.73015829828925,-0.306172364048054
"ex 257",-4.18176942054581,-4.18299174906013
"ex 258",-4.68988831353076,-0.653346134995177
"ex 259",-4.80536317369165,1.95276462497342
"ex 260",-1.32052271395233,-1.10612899108863
"ex 261",2.66228601528499,-3.32235777180812
"ex 262",-9.53008511957537,-2.46459513286301
"ex 263",-6.16054730403557,-2.95046252529889
"ex 264",10.2674084779701,1.55461054041315
"ex 265",0.320378216574829,10.2683548265597
"ex 266",-11.6149105562335,-1.31250182151200
"ex 267",2.09984730529687,2.60636786722982
"ex 268",-1.99485918586214,5.33058472044805
"ex 269",3.36375574873216,3.25884688613713
"ex 270",-2.98153786132221,-4.7549100609323
"ex 271",-1.58353130719701,-2.19025301245830
"ex 272",6.85225266430392,3.22634585640163
"ex 273",7.26152059523237,-3.54327444069702
"ex 274",12.2772282538950,-1.59916719551618
"ex 275",2.78232381325826,8.76346338443446
"ex 276",5.5163514471258,-11.6220177610431
"ex 277",-6.21454055336674,2.37007537348830
"ex 278",-11.5460128657810,-3.91086993442795
"ex 279",3.80908365802395,-8.10264276626042
"ex 280",-1.22299278768684,-1.15291240186956
"ex 281",-0.897702709194456,-3.33274806352333
"ex 282",-4.47375317162741,0.779090860849122
"ex 283",-3.91971833320302,-10.1690700538231
"ex 284",-5.26451591521772,4.83512553339624
"ex 285",-6.85971133159843,-1.61939923691399
"ex 286",6.58370653348622,1.90343799674241
"ex 287",-7.93230301118661,-6.50871489018758
"ex 288",-1.65034611802524,0.267714964532377
"ex 289",-4.24964654659849,-2.83001974330943
"ex 290",4.23590682553012,0.191282708884227
"ex 291",1.01374198599127,-2.84735163650711
"ex 292",-1.93725888570398,0.216904458071944
"ex 293",-0.154156739152867,4.67470453767554
"ex 294",-7.85903921325535,-4.9172667892583
"ex 295",4.43688324943973,-0.0804107710797723
"ex 296",4.16477110598361,-6.81968315156845
"ex 297",-1.47583717217111,-0.56496379262969
"ex 298",-5.00235913077616,4.56584623239748
"ex 299",5.32173687255334,-0.409162148201651
"ex 300",-2.39546541266517,2.32906995593099
"ex 301",-1.71621528304763,0.398078285382176
"ex 302",1.21255910486695,2.44541982910906
"ex 303",-3.20934252646213,-1.30842909356738
"ex 304",0.235288537703963,-3.74234862954647
"ex 305",1.83629045333161,1.75462265646136
"ex 306",-1.05284882186003,-7.76806177023553
"ex 307",-7.2298888434566,-5.5009736338178
"ex 308",-3.40663794700099,-0.462562902180639
"ex 309",-5.32886266701535,3.62855452950168
"ex 310",5.5067828396068,-8.29953987556204
"ex 311",-8.56898534811977,-20.1419304480493
"ex 312",-2.94983251889225,-0.349332985806692
"ex 313",1.85362033611509,2.25869262743572
"ex 314",6.02929678517747,-5.95067738052235
"ex 315",8.13541232346324,-7.29223949468027
"ex 316",-0.549082998528291,-1.35444701769879
"ex 317",0.0555845566768529,-5.12000342688808
"ex 318",-5.38233430342327,-1.02315149972411
"ex 319",-2.06243517020209,-0.345072168515554
"ex 320",1.78889282234117,-3.83072009345854
"ex 321",-2.89713648429897,-5.62527270173411
"ex 322",-0.639595234280121,-5.76939196065745
"ex 323",-0.287113348722324,-5.08635295746916
"ex 324",1.81971436596159,-8.90151471828794
"ex 325",-1.72217983046796,-6.90296251690352
"ex 326",0.538364652787379,-1.29610712099682
"ex 327",8.74663075573438,1.41564523334724
"ex 328",-1.21769441840823,-3.63393882670134
"ex 329",5.73452688551255,-0.137522012743958
"ex 330",-2.46337610191591,-9.07973921536176
"ex 331",4.17462545459155,-2.8441201756159
"ex 332",0.548432555267139,-0.6974919156718
"ex 333",3.79904162029106,1.90291491406859
"ex 334",-6.90266812868147,2.72432911273203
"ex 335",0.923817246025218,-11.0954875992713
"ex 336",-0.233462250558816,6.0622924370581
"ex 337",-0.35880892917834,2.61951330708275
"ex 338",-10.8292218101288,-0.0989341214763068
"ex 339",1.32836439990504,0.337479889738537
"ex 340",1.38387797745060,-13.2356894226645
"ex 341",-3.89322185741676,-4.05699538143212
"ex 342",4.18655174299901,-8.8797853825891
"ex 343",-6.69381781821687,9.9401080737399
"ex 344",-6.57144503818055,-8.68006499013724
"ex 345",2.29875848126502,8.03499087940342
"ex 346",8.21382343898496,-9.60705288401462
"ex 347",-0.821604900471623,4.13680331300426
"ex 348",-6.27280870110476,-5.64066125870852
"ex 349",7.92498854162848,0.874229042863902
"ex 350",1.02335615106285,-4.11397809161971
"ex 351",-4.18912125328023,5.12488742936751
"ex 352",-0.202436826192027,8.16142108294458
"ex 353",-0.109909056484333,-8.39630271190688
"ex 354",7.1509834492175,-4.62422094360086
"ex 355",3.81078807556630,-4.91743791583712
"ex 356",7.6776990924413,1.99162463931617
"ex 357",-4.99494043105334,-6.88669740066815
"ex 358",-9.47225395192586,-2.92694860505013
"ex 359",-2.25049563273452,3.80721558184044
"ex 360",-1.36730030856844,-7.02381560900623
"ex 361",-9.06988495945955,3.64519808372625
"ex 362",10.5079673557029,1.76243218904462
"ex 363",-5.31747493968982,-3.78929469835265
"ex 364",4.15376379874897,-2.39294187046841
"ex 365",6.42723543140721,-3.46791754742015
"ex 366",-10.2842375243908,-1.22927128863382
"ex 367",-0.651999507253976,-1.2475426839739
"ex 368",0.903539154329984,-2.7608219420064
"ex 369",-0.124521377439587,-1.64907691199275
"ex 370",-4.23635248524035,-0.0660551601702455
"ex 371",-1.53109103215994,-0.825348567563008
"ex 372",1.66402968258195,-3.40504556967215
"ex 373",-8.92773998228117,1.09842016754712
"ex 374",-6.06829154259778,-0.393213445474888
"ex 375",-2.69791824050058,-8.57616585504282
"ex 376",-1.55198213215472,-10.5262036989868
"ex 377",12.2912684426936,-0.614637666490419
"ex 378",9.43560809523927,1.58753412510733
"ex 379",-2.69108123381051,-0.082133511611827
"ex 380",-8.4654963438443,3.11134051087111
"ex 381",-5.23404672366376,3.25761708520403
"ex 382",-7.65402527106182,4.97002427354105
"ex 383",-4.9797570031578,8.73750255663893
"ex 384",-2.14855958801864,-0.974171174192151
"ex 385",-10.5424104497208,1.27404571114163
"ex 386",1.55294043762716,0.627369813951405
"ex 387",-8.1322989551061,-8.52078314960652
"ex 388",-5.52458961561639,-0.483564031368056
"ex 389",-1.24369321735401,2.42206396940385
"ex 390",-0.838135302753638,-9.5446985222943
"ex 391",2.24578478833054,1.64467673206591
"ex 392",-14.1181081394968,4.28888236217745
"ex 393",1.44808768626496,4.67160924676848
"ex 394",-1.23970154185487,-0.187947757356351
"ex 395",5.56361688391724,-4.75466914302489
"ex 396",0.501676341893152,-7.63364435595866
"ex 397",1.86107556506642,4.06112674313188
"ex 398",-6.77315651028107,-5.8890458979639
"ex 399",-1.44788409776927,-2.13020329803211
"ex 400",-1.06209917151018,0.476433115102146
"ex 401",6.52687191342852,-0.124002259681068
"ex 402",0.322887011792684,-6.35826264225644
"ex 403",3.46574632282994,0.744067823540584
"ex 404",10.9019666471379,5.61638189305424
"ex 405",0.68155220772857,-0.469394941367503
"ex 406",-0.192368969074018,-4.17796445808631
"ex 407",-3.87739321854271,-13.0507837101438
"ex 408",5.11736967120237,-1.63179131954318
"ex 409",-2.70607376810834,-2.91952773957129
"ex 410",4.43402672000114,-0.298449769471754
"ex 411",-12.0299180100331,1.82557194520472
"ex 412",2.01370265722823,8.60954044410593
"ex 413",2.31365974454977,3.64477484833112
"ex 414",-4.0351433278715,1.11127644130779
"ex 415",5.80074094518427,-7.01736263114781
"ex 416",-11.4063652118068,-1.09978083234857
"ex 417",-6.88281583111398,4.11752470868455
"ex 418",-0.34851916708472,-2.18733706569394
"ex 419",-5.89357797766145,-5.47342935752077
"ex 420",1.03333547354738,-6.00193995831422
"ex 421",-10.8273572239387,1.70116157012764
"ex 422",-5.36057416847077,-3.651960530603
"ex 423",-2.34700185433451,1.33821931749404
"ex 424",5.90321134165559,-5.09575581708681
"ex 425",-0.46300689400305,5.90044905973721
"ex 426",8.22058279299425,-0.511927159550543
"ex 427",-5.59320500949985,-7.07154904865499
"ex 428",-1.03876885791740,2.64257215415665
"ex 429",1.87464758362122,-6.46117631036781
"ex 430",-3.69736533435582,4.3115036264153
"ex 431",-2.44478469442726,-3.39362147011248
"ex 432",-6.09773541582909,2.10177907262322
"ex 433",3.15720666309226,-0.669452853640415
"ex 434",-3.48489729095415,-0.898694227848764
"ex 435",5.49007647959993,-4.76706700868443
"ex 436",4.15844308103407,-1.8825801663747
"ex 437",-5.15407839288321,2.04952341595510
"ex 438",-6.52947710783026,-2.7952402667149
"ex 439",1.22271149006485,-2.55286651708817
"ex 440",2.64691774099743,-9.1902248001438
"ex 441",-1.37993670123772,-3.23328765637195
"ex 442",7.4631095568442,10.3878345546295
"ex 443",-2.84948931104405,-1.17091544796837
"ex 444",4.32458530283019,-0.655245157864891
"ex 445",-9.1118012148204,-5.82796602304038
"ex 446",-5.40825361543033,5.87460307360091
"ex 447",-6.33563057581593,6.49301211246982
"ex 448",4.16815810708797,-2.35661276008586
"ex 449",-5.17525879559134,-5.3252968034112
"ex 450",4.94299826176328,-6.19606368854249
"ex 451",5.19430969594275,-2.72217688379330
"ex 452",-1.52262046375325,-2.88981928012067
"ex 453",4.0067911052169,-5.33536096454618
"ex 454",3.94854101055964,1.22001397834000
"ex 455",-5.14667690666932,1.71438447175287
"ex 456",-4.65178778242535,-4.82352251271046
"ex 457",-7.13478602547039,6.07584940160139
"ex 458",-0.275246469568580,-1.35219926113627
"ex 459",-0.920777901861944,-6.56929197383412
"ex 460",0.0381878007636418,6.56803607505768
"ex 461",6.27096673099744,-4.06360349204436
"ex 462",-4.91214929911301,-6.67642431179014
"ex 463",-2.44737436891146,5.16993690950663
"ex 464",4.33474995750852,-9.25444811548184
"ex 465",0.097042397794235,5.00938059157227
"ex 466",3.04017896881892,2.45447661791211
"ex 467",-1.36518894972887,2.88287979918907
"ex 468",2.17229780893828,0.343130881346436
"ex 469",6.27844974304647,0.205870207474616
"ex 470",-7.15080248658561,-4.91239412934933
"ex 471",-4.21637768616407,5.15400850439823
"ex 472",2.82241059357549,-6.37968152392617
"ex 473",-1.74140844615275,-2.87559156824596
"ex 474",-1.93592346960820,0.906621238014605
"ex 475",-4.66222761463828,1.05019809679803
"ex 476",-1.15688879607865,4.72275227121136
"ex 477",-11.0123207518451,7.4190145797966
"ex 478",1.98892064600472,-11.1321050298285
"ex 479",4.17604805536159,3.04882124468728
"ex 480",4.01669799405616,-6.61423307558062
"ex 481",-1.95446597986975,-0.464671572102441
"ex 482",7.94616069538846,0.926382078733672
"ex 483",-3.70790048559395,0.446969754478164
"ex 484",2.60934680138910,-0.827169299016377
"ex 485",5.29993132845935,-14.1166374362098
"ex 486",0.848221153513293,-3.55245070513098
"ex 487",9.5087315323072,-1.93722696771865
"ex 488",-0.683109260643122,-5.83333325682745
"ex 489",-0.566154387733072,-5.89754794151278
"ex 490",-6.69820216423467,-5.8672311421132
"ex 491",-2.39857078550995,5.40762877610376
"ex 492",-2.7622454807143,3.15352036513914
"ex 493",4.60606365618274,-2.49159217884753
"ex 494",4.5521642075465,-0.999758798229564
"ex 495",-2.00971246919543,4.23171697082061
"ex 496",0.619965579128081,2.10033176287993
"ex 497",2.76129948946074,-2.38864689062311
"ex 498",3.50019204134135,3.36269139687733
"ex 499",-2.71397143656024,0.219973879565186
"ex 500",-2.17702435322212,3.69926274474586
"ex 501",2.14393229119667,3.22253321886056
"ex 502",-2.42253841644989,-1.85549164286296
"ex 503",-6.04544452976792,-1.71243657061364
"ex 504",-1.44529339946502,-0.253570364774708
"ex 505",-3.6603289906466,6.59828059510309
"ex 506",-3.04677804863340,0.515898855166415
"ex 507",-3.91156648762682,-4.0106878819466
"ex 508",-2.58220598347400,-8.5699087011851
"ex 509",-1.00811533661340,2.01285387292893
"ex 510",-1.49560972657241,-0.240620383485166
"ex 511",-0.93814559509866,-4.8685395830248
"ex 512",-3.38181603387307,-4.14855035487750
"ex 513",-3.24678621622063,-5.66963727098838
"ex 514",0.169942406280729,0.7030806473401
"ex 515",-5.76228439671956,3.43819210989208
"ex 516",-5.16163377649331,3.55178550585085
"ex 517",-0.927601675207733,-3.2614924391622
"ex 518",5.18123135335724,1.66311601976969
"ex 519",-1.66395952982271,-5.59516860525383
"ex 520",5.34932424617853,4.92804770970511
"ex 521",3.15568204036879,0.552641790722724
"ex 522",-1.36472774921516,9.7563797610565
"ex 523",-4.33653106093545,1.64947818447353
"ex 524",1.17947823553010,-4.74672705818713
"ex 525",2.73458547469459,1.22214657375329
"ex 526",1.43968951016528,-1.05261736140602
"ex 527",-4.33728996546019,-1.85736999537952
"ex 528",0.0246563156360286,-5.45880044634385
"ex 529",1.82993338428147,-1.47404239964917
"ex 530",-0.269302946629315,-3.86471941835017
"ex 531",2.22324765345348,-0.344557513233412
"ex 532",1.93378303611512,7.92284202234945
"ex 533",-0.256981031454814,1.29610730342395
"ex 534",-9.9457701213142,-2.47566630249349
"ex 535",-5.98810076526417,-11.2057276609283
"ex 536",-4.32261128390095,-4.89240099506264
"ex 537",7.54057613768183,-6.7372486463878
"ex 538",-5.06796982544444,2.36685084685562
"ex 539",1.43749062004442,1.52120386764184
"ex 540",3.21779407176213,2.61533367177476
"ex 541",-4.37771116862982,-0.845127723863872
"ex 542",-1.29907237190281,1.20210866131305
"ex 543",-12.8458287197684,-2.81080758748787
"ex 544",-1.33112865840778,1.46202629989274
"ex 545",-4.67601302416589,-8.71064172325271
"ex 546",4.66409876451861,-3.45469106844988
"ex 547",0.7247645565026,-0.0249345610539519
"ex 548",-0.357330459775904,-1.81606795591384
"ex 549",-6.80563087457153,5.46332333518347
"ex 550",-3.27041033230969,-2.95770331645172
"ex 551",2.16128397903628,2.76794443389428
"ex 552",14.5392586105208,10.5040746638424
"ex 553",4.10837522930611,6.97282707007646
"ex 554",-7.08667136464593,-3.65301743462886
"ex 555",7.24136539558991,-9.03866993022546
"ex 556",4.49015573374913,2.62944160652511
"ex 557",-0.984639696434215,-2.33093817642066
"ex 558",0.680436473043671,-2.82774267404925
"ex 559",-1.76595979028767,-0.607152822089043
"ex 560",-1.95343835531775,-9.2038453405217
"ex 561",-1.86563297655224,5.59252250180799
"ex 562",-1.66399339192451,-7.26282411077067
"ex 563",1.61515232760126,-2.89020366375637
"ex 564",10.4725404102896,-0.676417476165972
"ex 565",-2.46212860893510,5.7021783659548
"ex 566",3.20606251157294,5.07035947831939
"ex 567",-3.50364400630827,-2.77934662599164
"ex 568",1.81693687839296,-0.0604296074743229
"ex 569",1.97834802231301,0.879542005487986
"ex 570",-0.746811560533784,5.59847843996922
"ex 571",-9.66426743217454,-4.6419743523475
"ex 572",-4.33726012788044,-2.28908757604334
"ex 573",-4.14048023257151,-3.08297433980471
"ex 574",-6.73111121883461,1.84180304312771
"ex 575",-3.2903429508714,3.4152772830078
"ex 576",-5.06822595458873,-6.96429813222583
"ex 577",-8.46962884623178,-0.637399862982277
"ex 578",0.495731545120301,3.94627158432976
"ex 579",-3.91283600768878,0.355812491078567
"ex 580",-2.81342743360623,-5.9566607084991
"ex 581",1.1071749678203,0.565848275301066
"ex 582",5.60984009812481,-8.04371510480305
"ex 583",5.58371831381669,7.79987563237783
"ex 584",6.21423445279726,9.46016857192482
"ex 585",-5.33087375108602,-7.0926874879859
"ex 586",-0.0376495058008727,0.347827950931344
"ex 587",-10.3647453378853,4.06477856002379
"ex 588",1.48744067707892,1.25854711711738
"ex 589",8.78917960915372,-5.1589471846536
"ex 590",-3.89636613537367,4.62997462661615
"ex 591",-0.586179266151966,2.89639637948494
"ex 592",-2.62646611483110,-4.15539437580638
"ex 593",3.07044053635193,7.01520876470645
"ex 594",-1.71184716045894,-1.16852321070602
"ex 595",-9.77149647880693,-7.56001571157134
"ex 596",-0.427594393979196,-6.22751947743441
"ex 597",-4.47436541856997,-6.82710214636578
"ex 598",0.82247361638296,5.58873465434097
"ex 599",0.732451894995081,-8.59625512029225
"ex 600",-7.47729936318247,2.33197064470855
"ex 601",-2.11476785505682,13.8060520525279
"ex 602",-8.51174957632459,10.6496330218515
"ex 603",-4.70836174244,5.5208705645965
